년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  시프트업 ,462870,65900,500,-0.7,66400,67000,801132,65800,63000,52255
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하스 ,450330,13510,"2,200",19.0,11310,14380,4195957,11410,11350,56026
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이노스페이스 ,462350,24750,550,2.2,24200,25150,74007,24200,23650,1812
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  신한글로벌액티브리츠 ,481850,2845,0,0.0,2845,2850,153251,2825,2825,435
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치브이엠 ,295310,11570,430,3.8,11140,11940,247004,10980,10940,2843
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  팡스카이 ,266350,1131,31,2.8,1100,1264,807,1080,1046,1
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하이젠알앤엠 ,160190,10580,120,-1.1,10700,11660,1509896,10910,10390,16465
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  한국제15호스팩 ,479880,2055,0,0.0,2055,2065,42730,2055,2050,88
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에스오에스랩 ,464080,6580,350,-5.0,6930,6920,562695,6890,6540,3752
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  미래에셋비전스팩6호 ,478440,2055,15,-0.7,2070,2070,37429,2070,2045,77
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치엠씨제7호스팩 ,477340,2025,0,0.0,2025,2025,43175,2020,2015,87
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엔에이치스팩31호 ,481890,2020,20,1.0,2000,2780,22967359,2700,2000,53327
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  SK증권제13호스팩  ,473950,2080,15,0.7,2065,2085,1247212,2065,2060,2578
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엑셀세라퓨틱스 ,373110,6630,230,3.5,6400,7090,1857702,6450,6430,12599
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이베스트스팩6호 ,478110,2050,5,0.2,2045,2050,151059,2045,2040,309
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  시프트업 ,462870,65900,500,-0.7,66400,67000,801132,65800,63000,52255
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하스 ,450330,13510,"2,200",19.0,11310,14380,4195957,11410,11350,56026
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이노스페이스 ,462350,24750,550,2.2,24200,25150,74007,24200,23650,1812
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  신한글로벌액티브리츠 ,481850,2845,0,0.0,2845,2850,153251,2825,2825,435
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치브이엠 ,295310,11570,430,3.8,11140,11940,247004,10980,10940,2843
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엔에이치스팩31호 ,481890,2020,20,1.0,2000,2780,22967359,2700,2000,53327
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  SK증권제13호스팩  ,473950,2080,15,0.7,2065,2085,1247212,2065,2060,2578
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엑셀세라퓨틱스 ,373110,6630,230,3.5,6400,7090,1857702,6450,6430,12599
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이베스트스팩6호 ,478110,2050,5,0.2,2045,2050,151059,2045,2040,309
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  시프트업 ,462870,65900,500,-0.7,66400,67000,801132,65800,63000,52255
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하스 ,450330,13510,"2,200",19.0,11310,14380,4195957,11410,11350,56026
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이노스페이스 ,462350,24750,550,2.2,24200,25150,74007,24200,23650,1812
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  신한글로벌액티브리츠 ,481850,2845,0,0.0,2845,2850,153251,2825,2825,435
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치브이엠 ,295310,11570,430,3.8,11140,11940,247004,10980,10940,2843
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  팡스카이 ,266350,1131,31,2.8,1100,1264,807,1080,1046,1
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엔에이치스팩31호 ,481890,2020,20,1.0,2000,2780,22967359,2700,2000,53327
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  SK증권제13호스팩  ,473950,2080,15,0.7,2065,2085,1247212,2065,2060,2578
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엑셀세라퓨틱스 ,373110,6630,230,3.5,6400,7090,1857702,6450,6430,12599
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이베스트스팩6호 ,478110,2050,5,0.2,2045,2050,151059,2045,2040,309
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  시프트업 ,462870,65900,500,-0.7,66400,67000,801132,65800,63000,52255
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하스 ,450330,13510,"2,200",19.0,11310,14380,4195957,11410,11350,56026
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이노스페이스 ,462350,24750,550,2.2,24200,25150,74007,24200,23650,1812
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  신한글로벌액티브리츠 ,481850,2845,0,0.0,2845,2850,153251,2825,2825,435
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치브이엠 ,295310,11570,430,3.8,11140,11940,247004,10980,10940,2843
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  팡스카이 ,266350,1131,31,2.8,1100,1264,807,1080,1046,1
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하이젠알앤엠 ,160190,10580,120,-1.1,10700,11660,1509896,10910,10390,16465
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  한국제15호스팩 ,479880,2055,0,0.0,2055,2065,42730,2055,2050,88
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에스오에스랩 ,464080,6580,350,-5.0,6930,6920,562695,6890,6540,3752
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  미래에셋비전스팩6호 ,478440,2055,15,-0.7,2070,2070,37429,2070,2045,77
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치엠씨제7호스팩 ,477340,2025,0,0.0,2025,2025,43175,2020,2015,87
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  파라다이스  ,034230,11970,90,-0.7,12060,12090,316179,12060,11930,3790
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  한중엔시에스 ,107640,45100,900,-1.9,46000,49500,780536,45300,44600,37062
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  KB제29호스팩 ,478390,2085,15,-0.7,2100,2095,33513,2090,2070,70
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  미래에셋비전스팩5호 ,477470,2140,20,-0.9,2160,2170,27336,2160,2130,59
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  씨어스테크놀로지 ,458870,10980,20,0.1,10960,11170,70546,10960,10830,776
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  한국제14호스팩 ,477530,2140,0,0.0,2140,2150,16936,2145,2135,36
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  디비금융스팩12호 ,477760,2110,10,-0.4,2120,2130,25516,2125,2110,54
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  라메디텍 ,462510,12440,"1,330",11.0,11110,12950,935081,11380,11150,11380
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  그리드위즈 ,453450,27950,950,3.5,27000,29150,265969,27400,27300,7506
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  다원넥스뷰 ,323350,8130,100,1.2,8030,8130,18006,7850,7810,143
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  미래에셋비전스팩4호 ,477380,2055,10,0.4,2045,2055,52417,2045,2040,107
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  노브랜드 ,145170,17250,50,-0.2,17300,17380,129877,17220,16950,2226
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  KB제28호스팩 ,476470,2155,30,-1.3,2185,2180,25244,2175,2155,55
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  아이씨티케이 ,456010,8030,80,1.0,7950,8070,96043,7950,7840,765
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  HD현대마린솔루션 ,443060,138900,"5,700",4.2,133200,141100,391266,134500,134500,54413
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  SK증권제12호스팩 ,473000,2135,10,0.4,2125,2140,14164,2125,2110,30
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엔에이치스팩31호 ,481890,2020,20,1.0,2000,2780,22967359,2700,2000,53327
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  SK증권제13호스팩  ,473950,2080,15,0.7,2065,2085,1247212,2065,2060,2578
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엑셀세라퓨틱스 ,373110,6630,230,3.5,6400,7090,1857702,6450,6430,12599
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이베스트스팩6호 ,478110,2050,5,0.2,2045,2050,151059,2045,2040,309
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  시프트업 ,462870,65900,500,-0.7,66400,67000,801132,65800,63000,52255
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하스 ,450330,13510,"2,200",19.0,11310,14380,4195957,11410,11350,56026
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이노스페이스 ,462350,24750,550,2.2,24200,25150,74007,24200,23650,1812
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  신한글로벌액티브리츠 ,481850,2845,0,0.0,2845,2850,153251,2825,2825,435
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치브이엠 ,295310,11570,430,3.8,11140,11940,247004,10980,10940,2843
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  팡스카이 ,266350,1131,31,2.8,1100,1264,807,1080,1046,1
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하이젠알앤엠 ,160190,10580,120,-1.1,10700,11660,1509896,10910,10390,16465
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  한국제15호스팩 ,479880,2055,0,0.0,2055,2065,42730,2055,2050,88
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에스오에스랩 ,464080,6580,350,-5.0,6930,6920,562695,6890,6540,3752
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  미래에셋비전스팩6호 ,478440,2055,15,-0.7,2070,2070,37429,2070,2045,77
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치엠씨제7호스팩 ,477340,2025,0,0.0,2025,2025,43175,2020,2015,87
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  파라다이스  ,034230,11970,90,-0.7,12060,12090,316179,12060,11930,3790
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  한중엔시에스 ,107640,45100,900,-1.9,46000,49500,780536,45300,44600,37062
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  KB제29호스팩 ,478390,2085,15,-0.7,2100,2095,33513,2090,2070,70
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  미래에셋비전스팩5호 ,477470,2140,20,-0.9,2160,2170,27336,2160,2130,59
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  씨어스테크놀로지 ,458870,10980,20,0.1,10960,11170,70546,10960,10830,776
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  한국제14호스팩 ,477530,2140,0,0.0,2140,2150,16936,2145,2135,36
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  디비금융스팩12호 ,477760,2110,10,-0.4,2120,2130,25516,2125,2110,54
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  라메디텍 ,462510,12440,"1,330",11.0,11110,12950,935081,11380,11150,11380
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  그리드위즈 ,453450,27950,950,3.5,27000,29150,265969,27400,27300,7506
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  다원넥스뷰 ,323350,8130,100,1.2,8030,8130,18006,7850,7810,143
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  미래에셋비전스팩4호 ,477380,2055,10,0.4,2045,2055,52417,2045,2040,107
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  노브랜드 ,145170,17250,50,-0.2,17300,17380,129877,17220,16950,2226
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  KB제28호스팩 ,476470,2155,30,-1.3,2185,2180,25244,2175,2155,55
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  아이씨티케이 ,456010,8030,80,1.0,7950,8070,96043,7950,7840,765
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  HD현대마린솔루션 ,443060,138900,"5,700",4.2,133200,141100,391266,134500,134500,54413
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  SK증권제12호스팩 ,473000,2135,10,0.4,2125,2140,14164,2125,2110,30
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  코칩 ,126730,12340,290,-2.3,12630,12640,36187,12530,12260,448
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  민테크 ,452200,7220,20,-0.2,7240,7370,95327,7280,7200,692
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엔에이치스팩31호 ,481890,2020,20,1.0,2000,2780,22967359,2700,2000,53327
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  SK증권제13호스팩  ,473950,2080,15,0.7,2065,2085,1247212,2065,2060,2578
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엑셀세라퓨틱스 ,373110,6630,230,3.5,6400,7090,1857702,6450,6430,12599
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이베스트스팩6호 ,478110,2050,5,0.2,2045,2050,151059,2045,2040,309
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  시프트업 ,462870,65900,500,-0.7,66400,67000,801132,65800,63000,52255
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하스 ,450330,13510,"2,200",19.0,11310,14380,4195957,11410,11350,56026
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이노스페이스 ,462350,24750,550,2.2,24200,25150,74007,24200,23650,1812
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  신한글로벌액티브리츠 ,481850,2845,0,0.0,2845,2850,153251,2825,2825,435
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치브이엠 ,295310,11570,430,3.8,11140,11940,247004,10980,10940,2843
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  팡스카이 ,266350,1131,31,2.8,1100,1264,807,1080,1046,1
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하이젠알앤엠 ,160190,10580,120,-1.1,10700,11660,1509896,10910,10390,16465
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  한국제15호스팩 ,479880,2055,0,0.0,2055,2065,42730,2055,2050,88
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에스오에스랩 ,464080,6580,350,-5.0,6930,6920,562695,6890,6540,3752
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  미래에셋비전스팩6호 ,478440,2055,15,-0.7,2070,2070,37429,2070,2045,77
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치엠씨제7호스팩 ,477340,2025,0,0.0,2025,2025,43175,2020,2015,87
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  파라다이스  ,034230,11970,90,-0.7,12060,12090,316179,12060,11930,3790
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  한중엔시에스 ,107640,45100,900,-1.9,46000,49500,780536,45300,44600,37062
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  KB제29호스팩 ,478390,2085,15,-0.7,2100,2095,33513,2090,2070,70
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  미래에셋비전스팩5호 ,477470,2140,20,-0.9,2160,2170,27336,2160,2130,59
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  씨어스테크놀로지 ,458870,10980,20,0.1,10960,11170,70546,10960,10830,776
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  한국제14호스팩 ,477530,2140,0,0.0,2140,2150,16936,2145,2135,36
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  디비금융스팩12호 ,477760,2110,10,-0.4,2120,2130,25516,2125,2110,54
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  라메디텍 ,462510,12440,"1,330",11.0,11110,12950,935081,11380,11150,11380
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  그리드위즈 ,453450,27950,950,3.5,27000,29150,265969,27400,27300,7506
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  다원넥스뷰 ,323350,8130,100,1.2,8030,8130,18006,7850,7810,143
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  미래에셋비전스팩4호 ,477380,2055,10,0.4,2045,2055,52417,2045,2040,107
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  노브랜드 ,145170,17250,50,-0.2,17300,17380,129877,17220,16950,2226
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  KB제28호스팩 ,476470,2155,30,-1.3,2185,2180,25244,2175,2155,55
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  아이씨티케이 ,456010,8030,80,1.0,7950,8070,96043,7950,7840,765
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  HD현대마린솔루션 ,443060,138900,"5,700",4.2,133200,141100,391266,134500,134500,54413
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  SK증권제12호스팩 ,473000,2135,10,0.4,2125,2140,14164,2125,2110,30
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  코칩 ,126730,12340,290,-2.3,12630,12640,36187,12530,12260,448
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  민테크 ,452200,7220,20,-0.2,7240,7370,95327,7280,7200,692
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  카티스 ,140430,4805,25,0.5,4780,5030,814541,4740,4740,3976
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  디앤디파마텍 ,347850,38200,"1,000",2.6,37200,39500,530445,37750,37450,20430
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  유안타제16호스팩 ,474490,2060,5,-0.2,2065,2065,8768,2065,2045,18
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  제일엠앤에스 ,412540,11200,60,0.5,11140,11330,54526,11310,10950,609
